iter	Logloss
0	0.6680211709
1	0.6456224247
2	0.6252253461
3	0.6051822776
4	0.5880646616
5	0.5720498233
6	0.5567290032
7	0.5418956259
8	0.5281043591
9	0.5152049125
10	0.5041190048
11	0.4943030153
12	0.4847843985
13	0.475827753
14	0.4671190045
15	0.459361467
16	0.4517724641
17	0.4449206115
18	0.4384819011
19	0.4324481612
20	0.4270871977
21	0.4220993535
22	0.4177642836
23	0.4136215893
24	0.4093475335
25	0.4055593665
26	0.4021854029
27	0.3989442361
28	0.3961687354
29	0.3929712726
30	0.3905658456
31	0.3880076081
32	0.3855215546
33	0.3835715407
34	0.3815064015
35	0.379808731
36	0.3781967102
37	0.3763048767
38	0.3745989161
39	0.3730908327
40	0.3717512687
41	0.370507612
42	0.3695022038
43	0.3683288505
44	0.367057876
45	0.3661519567
46	0.3649975615
47	0.3642873672
48	0.3632981504
49	0.3624259402
50	0.3614805139
51	0.3606883732
52	0.3599436698
53	0.3590702414
54	0.3583029616
55	0.3576539629
56	0.3569839054
57	0.3563339205
58	0.3557225915
59	0.3552406839
60	0.354653798
61	0.3542904647
62	0.3537870984
63	0.3533666965
64	0.3528677958
65	0.3524053466
66	0.3520246849
67	0.3515814736
68	0.3511716159
69	0.3507884378
70	0.3503753902
71	0.3500471629
72	0.3497567628
73	0.3493799146
74	0.3490337592
75	0.3487302808
76	0.3484391927
77	0.3481050913
78	0.3478138521
79	0.3476328775
80	0.3473790437
81	0.3470310232
82	0.3468245123
83	0.3465755196
84	0.3463609317
85	0.3461456443
86	0.3458963549
87	0.3456396095
88	0.3453950356
89	0.3451759769
90	0.3449394016
91	0.3447345269
92	0.3445816602
93	0.3444593192
94	0.3442046844
95	0.3440366735
96	0.3438150064
97	0.3436427592
98	0.3435153069
99	0.3433274284
100	0.343140298
101	0.3429738005
102	0.3428193024
103	0.3426220836
104	0.3424088229
105	0.3421793503
106	0.3421123217
107	0.3419025432
108	0.3417338995
109	0.341581391
110	0.341502002
111	0.3413099973
112	0.3411917219
113	0.3410305918
114	0.3409200207
115	0.340778347
116	0.3405399478
117	0.340460703
118	0.3403345706
119	0.3401214408
120	0.3399672271
121	0.3399104694
122	0.3397327782
123	0.3396088486
124	0.3394911637
125	0.3393437007
126	0.339246727
127	0.3391298599
128	0.3390334057
129	0.3388769616
130	0.3387184475
131	0.338641819
132	0.3384706737
133	0.3383378207
134	0.338261171
135	0.338085087
136	0.3379330639
137	0.3378176234
138	0.337748759
139	0.3376344927
140	0.3375762799
141	0.3373571041
142	0.3372019186
143	0.3371912679
