iter	Logloss
144	0.3370078274
145	0.3368564852
146	0.3367385854
147	0.3367332181
148	0.3366143875
149	0.3364774006
150	0.3363364991
151	0.3362507538
152	0.3361454834
153	0.3360366902
154	0.335842038
155	0.3357711212
156	0.3357140395
157	0.3355632539
158	0.3353901727
159	0.3352898744
160	0.3352052111
161	0.3350896049
162	0.3350005685
163	0.3349392091
164	0.3348778794
165	0.3348096854
166	0.3347342167
167	0.3346181078
168	0.3344759872
169	0.334352297
170	0.3342505718
171	0.3341501361
172	0.3341338908
173	0.3341049138
174	0.3340361492
175	0.3339859599
176	0.3338631664
177	0.3337077826
178	0.3335983483
179	0.3334764025
180	0.3333730583
181	0.3332380265
182	0.3331891968
183	0.3330563294
184	0.3328586277
185	0.3327681814
186	0.3325987735
187	0.3324945167
188	0.3323835873
189	0.3322597982
190	0.3321797848
191	0.3321528688
192	0.3321191199
193	0.3319459074
194	0.3317397695
195	0.3317219994
196	0.3316279364
197	0.3316057066
198	0.3314550618
199	0.3313668401
200	0.3313359105
201	0.3313043743
202	0.3312400574
203	0.3312277495
204	0.3311245893
205	0.3310320862
206	0.3309423725
207	0.3308816408
208	0.3307579956
209	0.3306466351
210	0.3305471814
211	0.3304477488
212	0.3304024034
213	0.3302261774
214	0.3300221225
215	0.3299173939
216	0.3298633147
217	0.3297458953
218	0.3296489335
219	0.3295141511
220	0.3293239079
221	0.3291523839
222	0.3290802652
223	0.3289472077
224	0.3288243063
225	0.3287450342
226	0.3286491412
227	0.3286019387
228	0.3285222083
229	0.3284300463
230	0.328214473
231	0.3281787857
232	0.3281015421
233	0.3280146123
234	0.3278376369
235	0.3276744266
236	0.3276275599
237	0.327563621
238	0.3274904633
239	0.327393288
240	0.3272586516
241	0.327173395
242	0.327123341
243	0.3269859831
244	0.3269140441
245	0.326750204
246	0.3267310647
247	0.326595756
248	0.3264659734
249	0.3263968205
250	0.3262075684
251	0.3261326944
252	0.326054435
253	0.3259029773
254	0.3258526871
255	0.3258073752
256	0.3256949019
257	0.3256418522
258	0.3255322358
259	0.3254907435
260	0.3253800004
261	0.3252597646
262	0.3251711089
263	0.3251647058
264	0.3251432341
265	0.3248972297
266	0.3247874293
267	0.3246868737
268	0.3245471043
269	0.3244114971
270	0.3242385697
271	0.3240676512
272	0.3238763869
273	0.3237474896
274	0.3235810899
275	0.32355543
276	0.3234410068
277	0.3232505555
278	0.3231594109
279	0.3230648586
280	0.3230149235
281	0.3228581201
282	0.3227193219
283	0.3225132502
284	0.3225107154
285	0.3224362023
286	0.3224077091
287	0.3222985329
288	0.3221592361
289	0.3220628852
290	0.3218949132
291	0.3217920826
292	0.3216989405
293	0.3216587792
294	0.3215591347
295	0.3214121769
296	0.3212505763
297	0.3212171513
298	0.3211144588
299	0.3210456772
300	0.320941157
301	0.3207399172
302	0.3204750875
303	0.3202981953
304	0.3200791444
305	0.3199161788
306	0.3198593053
307	0.3198288889
308	0.3197459581
309	0.3196074899
310	0.3194441452
311	0.3192228527
312	0.3191027819
313	0.3190388698
314	0.3189409234
315	0.318732746
316	0.3186074411
317	0.3185781282
318	0.318371127
319	0.3182955363
320	0.3181295124
321	0.3179798983
322	0.3178644871
323	0.3176129999
324	0.3174814379
325	0.3173448504
326	0.3172452669
327	0.3171692715
328	0.3170078297
329	0.3168035828
330	0.3166743282
331	0.316518172
332	0.3164065277
333	0.3163842974
334	0.3163692377
335	0.3163005868
336	0.3161685177
337	0.315970713
338	0.3158406373
339	0.315822579
340	0.3156689773
341	0.3154664889
342	0.3153789264
343	0.3151630428
344	0.3150287711
345	0.3149922002
346	0.3148640619
347	0.314718549
348	0.3145351674
349	0.3144570216
350	0.3143556231
351	0.3141127082
352	0.3140432725
353	0.3139038772
354	0.3137676314
355	0.313605921
356	0.3134331618
357	0.3132818537
358	0.3131861782
359	0.3130637658
360	0.312942782
361	0.3127464688
362	0.3125931041
363	0.3124820871
364	0.3123019192
365	0.3122417317
366	0.3120712864
367	0.3119684684
368	0.3118010439
369	0.311630636
370	0.3115678973
371	0.3114037095
372	0.3112081138
373	0.3111262263
374	0.3109630186
375	0.3107607845
376	0.3105456129
377	0.3104717199
378	0.3103259131
379	0.3101586144
380	0.3100137147
381	0.3098176991
382	0.3096682736
383	0.3094906425
384	0.3093980494
385	0.3092236349
386	0.30916211
387	0.3090195003
388	0.3089755403
389	0.3088612951
390	0.3086799804
391	0.3086428648
392	0.3085539435
393	0.3084324617
394	0.3083027384
395	0.3082098966
396	0.3080111197
397	0.3078873139
398	0.3078139774
399	0.3077006393
400	0.3074934942
401	0.3073826273
